5435 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.ChaosTurretNormalBasicAttack
5436 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptChaosTurretNormal
5442 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.ChaosTurretNormalBasicAttack
5443 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptChaosTurretGiant
5452 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.ChaosTurretGiantBasicAttack
5452 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptChaosTurretGiant
5460 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.ChaosTurretGiantBasicAttack
5461 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptOrderTurretShrine
5468 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.OrderTurretShrineBasicAttack
5470 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptChaosTurretShrine
5477 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.ChaosTurretShrineBasicAttack
5487 [1] INFO LeagueSandbox.GameServer.Game (null) - Add players
5488 [1] INFO LeagueSandbox.GameServer.Game (null) - Player 555 Added: MasterYi
5503 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.AlphaStrikeTeleport
5509 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: AIScripts.
5520 [1] INFO LeagueSandbox.GameServer.Game (null) - Game is ready.
5521 [1] INFO LeagueSandbox.GameServerConsole.Program (null) - Server is ready, clients can now connect.
5860 [1] DEBUG LeagueSandbox.GameServer.Packets.PacketHandlers.HandleSync (null) - Current map: 1
5860 [1] DEBUG LeagueSandbox.GameServer.Packets.PacketHandlers.HandleSync (null) - Accepted client version (Version 4.20.0.315 [PUBLIC]) from client = 0 & PlayerID = 1
16702 [1] DEBUG LeagueSandbox.GameServer.Packets.PacketHandlers.HandleSpawn (null) - Spawning map
19641 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.AncientGolemInitialAttack
19646 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.AncientGolemBasicAttack
19648 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.AncientGolemBasicAttack2
19649 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.AncientGolemBasicAttack3
19654 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptYoungLizard
19663 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.YoungLizardBasicAttack
19665 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.YoungLizardBasicAttack2
19666 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.YoungLizardBasicAttack3
19667 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptYoungLizard
19675 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.YoungLizardBasicAttack
19676 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.YoungLizardBasicAttack2
19677 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.YoungLizardBasicAttack3
19680 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptGiantWolf
19688 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.GiantWolfBasicAttack
19689 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.GiantWolfBasicAttack2
19690 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.GiantWolfBasicAttack3
19692 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptWolf
19703 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.WolfBasicAttack
19705 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.WolfBasicAttack2
19706 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.WolfBasicAttack3
19707 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptWolf
19716 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.WolfBasicAttack
19717 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.WolfBasicAttack2
19717 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.WolfBasicAttack3
19719 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptWraith
19728 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.WraithBasicAttack
19730 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptLesserWraith
19739 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.LesserWraithBasicAttack
19740 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.LesserWraithBasicAttack2
19741 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.LesserWraithBasicAttack3
19742 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptLesserWraith
19752 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.LesserWraithBasicAttack
19752 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.LesserWraithBasicAttack2
19753 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.LesserWraithBasicAttack3
19754 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: CharScripts.CharScriptLesserWraith
19762 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.LesserWraithBasicAttack
19763 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.LesserWraithBasicAttack2
19763 [1] WARN LeagueSandbox.GameServer.Scripting.CSharp.CSharpScriptEngine (null) - Could not find script: Spells.LesserWraithBasicAttack3
